Date (date),Country Name (country_name),ISO Alpha 3 Code (alpha_3_code),Country Code (country_code),Region Name (region),Region Code (region_code),Sub-Region Name (sub_region),Sub-Region Code (sub_region_code),Harmonized System Code (hs_code),Commodity Name (commodity),Unit of Quantity (unit),Quantity of commodity (value_qt),Value of commodity quantity in INR (value_rs),Value of commodity quantity in US Dollars (value_dl)
"2025-06-01","Austria","AUT","040","Europe","150","Western Europe","155","84313100","Prts Of Lfts, Skip Hoists/Escalators","Kgs","7783.0","0.68","0.08"
"2025-05-01","Italy","ITA","380","Europe","150","Southern Europe","39","84671900","Others Pneumatic Tools","Nos","3.0","0.01","0.0"
"2015-04-01","Denmark","DNK","208","Europe","150","Northern Europe","154","73084000","Props And Smlr Equipment For Scaffolding, Shuttering Or Pit-Propping","Kgs","128.62","92.33","0.15"
"2019-07-01","Romania","ROU","642","Europe","150","Eastern Europe","151","33012950","Spices Oil,N.E.S.","Kgs","0.01","0.24","0.0"
"2019-05-01","Portugal","PRT","620","Europe","150","Southern Europe","39","63079090","Othr Made Up Artcls Othr Thn Cotton","Kgs","0.0","0.09","0.0"
"2025-03-01","Kingdom of the Netherlands","NLD","528","Europe","150","Western Europe","155","63024030","Table Linen Of Cotn,Hnd Kntd/Crocheted","Kgs","9797.0","0.74","0.08"
"2016-03-01","Portugal","PRT","620","Europe","150","Southern Europe","39","29349900","*Other Heterocyclic Compounds","Kgs","0.55","124.86","0.19"
"2018-02-01","Kingdom of the Netherlands","NLD","528","Europe","150","Western Europe","155","72023000","Ferro-Silico-Manganese","Kgs","1288.0","904.7","1.41"
"2024-08-01","Kingdom of the Netherlands","NLD","528","Europe","150","Western Europe","155","90273090","Others","Nos","4.0","0.0","0.0"
"2020-01-01","Russian Federation","RUS","643","Europe","150","Eastern Europe","151","72299090","Others","Kgs","0.59","7.85","0.01"
"2019-10-01","Denmark","DNK","208","Europe","150","Northern Europe","154","83100090","Other Symbols Of Base Metal","Kgs","0.02","0.08","0.0"
"2015-04-01","Italy","ITA","380","Europe","150","Southern Europe","39","63072090","Life Jackets And Life Belts Excl Cotton","Kgs","1.11","7.52","0.01"
"2018-01-01","United Kingdom of Great Britain and Northern Ireland","GBR","826","Europe","150","Northern Europe","154","62114290","Cotn Grmnts Othr Thn Kurta And Salwar Wth Without Duppatta","Nos","721.18","3100.64","4.87"
"2020-10-01","Switzerland","CHE","756","Europe","150","Western Europe","155","57024190","Othr Flr Cvrngs Of Wool/Fine Anml Hair","Sqm","0.09","1.54","0.0"
"2015-09-01","United Kingdom of Great Britain and Northern Ireland","GBR","826","Europe","150","Northern Europe","154","73181900","Other Threaded Articles","Kgs","191.95","322.74","0.49"
