Date (date),Country Name (country_name),ISO Alpha 3 Code (alpha_3_code),Country Code (country_code),Region Name (region),Region Code (region_code),Sub-Region Name (sub_region),Sub-Region Code (sub_region_code),Harmonized System Code (hs_code),Commodity Name (commodity),Unit of Quantity (unit),Quantity of commodity (value_qt),Value of commodity quantity in INR (value_rs),Value of commodity quantity in US Dollars (value_dl)
"2024-09-01","Lithuania","LTU","440","Europe","150","Northern Europe","154","90183910","Catheters (For Urine,Stool)","Nos","3729300.0","5.27","0.63"
"2025-07-01","Russian Federation","RUS","643","Europe","150","Eastern Europe","151","29212100","Ethylenediamine And Its Salts","Kgs","2401.0","1.4","0.16"
"2020-04-01","Germany","DEU","276","Europe","150","Western Europe","155","34021190","*Others(E.G.Alkylsulphates,Technical Dodecylbenzene-Sulphonates,Etc)","Kgs","104.03","81.93","0.11"
"2018-04-01","Italy","ITA","380","Europe","150","Southern Europe","39","85369090","Other","Nos","159.02","237.19","0.36"
"2016-05-01","Switzerland","CHE","756","Europe","150","Western Europe","155","96033010","Artist Brushes","Nos","1.0","0.5","0.0"
"2024-04-01","Russian Federation","RUS","643","Europe","150","Eastern Europe","151","32041981","Food Colouring Yellow 3 (Sunset Yellow)","Kgs","9702.0","0.36","0.04"
"2015-02-01","Switzerland","CHE","756","Europe","150","Western Europe","155","63049289","Other Cushion Covers","Nos","0.47","0.59","0.0"
"2021-09-01","Germany","DEU","276","Europe","150","Western Europe","155","48173090","Othr Papr Stationery Fr Corspndnce Contng Only An Asortmnt Of Papr Stationry","Kgs","0.02","0.81","0.0"
"2021-12-01","France","FRA","250","Europe","150","Western Europe","155","29222933","Para Acetyl Aminophenol(Paracetamol)","Kgs","130.75","957.98","1.27"
"2016-03-01","United Kingdom of Great Britain and Northern Ireland","GBR","826","Europe","150","Northern Europe","154","73170013","Wire Nails","Kgs","15.1","33.8","0.05"
"2025-03-01","Czechia","CZE","203","Europe","150","Eastern Europe","151","72230092","Wire Of Stains Stl Of Thckns 1.5 To 0.46Mm","Kgs","13290.0","0.47","0.05"
"2015-03-01","United Kingdom of Great Britain and Northern Ireland","GBR","826","Europe","150","Northern Europe","154","71031021","*Felspar (Moon Stone)Uncut","Kgs","0.01","3.15","0.01"
"2015-10-01","Portugal","PRT","620","Europe","150","Southern Europe","39","62149060","Shawls Muffelers Etc Of Manmade Fibre","Nos","0.08","0.11","0.0"
"2016-10-01","Italy","ITA","380","Europe","150","Southern Europe","39","52101190","Others","Sqm","96.26","64.21","0.1"
"2025-07-01","Croatia","HRV","191","Europe","150","Southern Europe","39","84834000","Gears And Gearng,Excl Toothd Wheels,Trnsmsn Elmnts Prsntd Seprtly;Ball Scrws;Gear Boxsand Speed Chngrs,Incl Torque C","Nos","10.0","0.0","0.0"
"2016-04-01","Kingdom of the Netherlands","NLD","528","Europe","150","Western Europe","155","30021014","*Snake Venom Antisera","Kgs","0.0","1.42","0.0"
"2015-03-01","Albania","ALB","8","Europe","150","Southern Europe","39","29332990","Other Compnds Cntng An Unfused Imidazole Ring (W/N Hydrgntd ) In Structure","Kgs","0.0","0.15","0.0"
"2016-12-01","United Kingdom of Great Britain and Northern Ireland","GBR","826","Europe","150","Northern Europe","154","73072200","Threaded Elbows,Bnds And Slevs Of Stnles Stl","Kgs","0.3","1.49","0.0"
"2024-12-01","Sweden","SWE","752","Europe","150","Northern Europe","154","38243000","Non-Agglomerated Metal Carbides Mixed Together Or With Metallic Binders","Kgs","23400.0","7.46","0.88"
"2019-06-01","Poland","POL","616","Europe","150","Eastern Europe","151","83012000","Locks Of A Kind Used For Motor Vehicls","Kgs","0.25","3.94","0.01"
"2019-10-01","France","FRA","250","Europe","150","Western Europe","155","85011019","Other Motor Wth Output <=37.5 W","Nos","8.27","300.85","0.42"
"2020-07-01","Spain","ESP","724","Europe","150","Southern Europe","39","85444999","Othr Elctrc Cndctrs Not Fitted Wth Connctrs Used In Telecom Fr <=1000V Excl Papr Plsctic And Rubber Insulated","Mtr","107.72","107.71","0.14"
"2018-07-01","Poland","POL","616","Europe","150","Eastern Europe","151","52053110","Grey","Kgs","7.97","11.19","0.02"
"2016-12-01","Italy","ITA","380","Europe","150","Southern Europe","39","48239019","Decorative Laminates","Kgs","127.49","122.56","0.18"
"2019-05-01","Netherlands Antilles","None","None","Europe","150","Western Europe","155","62045200","Skirts And Divided Skirts Of Cotton","Nos","0.24","0.69","0.0"
"2024-12-01","Germany","DEU","276","Europe","150","Western Europe","155","84824000","Needle Roller Bearings","Nos","974135.0","0.43","0.05"
"2015-01-01","Spain","ESP","724","Europe","150","Southern Europe","39","26219000","Ash And Residues From Incineration Of Otherthan Municipal Waste","Kgs","22.0","2.04","0.0"
"2020-10-01","France","FRA","250","Europe","150","Western Europe","155","3061740","Black Tiger Shrimp (Penaeus Monodon)","Kgs","49.16","381.36","0.52"
"2015-04-01","Finland","FIN","246","Europe","150","Northern Europe","154","29420090","Other Diloxanide Furoate, Cimetidine, Famotidine Nes","Kgs","0.03","11.57","0.02"
"2017-06-01","Spain","ESP","724","Europe","150","Southern Europe","39","85045010","Choke Coils(Chokes)","Nos","1.2","0.63","0.0"
"2020-10-01","Malta","MLT","470","Europe","150","Southern Europe","39","61102000","Jerseys Etc Of Cotton","Nos","0.06","1.65","0.0"
